run,trial,policy,throughput,latency_avg_ns,latency_p50_ns,latency_p95_ns,latency_p99_ns,latency_max_ns,start_skew_avg_ns,start_skew_p50_ns,start_skew_p95_ns,start_skew_p99_ns,start_skew_max_ns,exec_tail_avg_ns,exec_tail_p50_ns,exec_tail_p95_ns,exec_tail_p99_ns,exec_tail_max_ns,finish_avg_ns,finish_p50_ns,finish_p95_ns,finish_p99_ns,finish_max_ns,barrier_avg_ns,barrier_p50_ns,barrier_p95_ns,barrier_p99_ns,barrier_max_ns,measured_ns,io_requested_bytes,io_completed_bytes,io_elapsed_ns,io_status,io_overlap_permille,prepare_avg_ns,prepare_p50_ns,prepare_p95_ns,prepare_p99_ns,prepare_max_ns,end_to_end_avg_ns,end_to_end_p50_ns,end_to_end_p95_ns,end_to_end_p99_ns,end_to_end_max_ns,pipeline_pages_per_worker,pipeline_io_bytes_per_round,pipeline_io_requested_bytes,pipeline_io_completed_bytes,pipeline_io_elapsed_ns,pipeline_io_status
1,1,spread,161,5566546,5413300,6517900,9453000,19143700,150604,89500,543700,781000,1334900,1226276,1152100,1773700,2114400,10106900,1216492,1157700,1733300,2076600,10180400,4855438,4473200,7545200,9012100,68096900,1853268800,0,0,0,0,0,409247,321800,597200,832600,10023600,5987590,5750800,7057100,14776500,19330200,4,4096,1310720,1310720,2019901500,0
2,1,guard_only,162,5621435,5391200,6559500,13358400,14635200,154987,84900,538000,918200,1515800,1245559,1170900,1801500,2321400,9887200,1233427,1156400,1800700,2171000,9901900,4778554,4338300,7861300,9676700,57686400,1849961000,0,0,0,0,0,356075,309700,593600,766100,7533100,5988727,5786500,7031600,13917000,14816100,4,4096,1310720,1310720,1984080900,0
3,1,barrier_noguard,148,6093529,5759800,8103900,9944300,15725300,184136,112800,629900,1076800,1271900,1409063,1317100,2228600,2587500,7294700,1391638,1291100,2186300,2587400,7253300,5432521,4900200,8927800,10862600,46449800,2015860400,0,0,0,0,0,408807,359600,680200,916000,7075800,6515136,6103900,8806300,11105100,16018800,4,4096,1310720,1310720,2198885000,0
4,1,barrier,143,6319859,6272300,7329200,7792400,13936800,214922,128800,630500,1370800,2169300,1507983,1475600,2176600,2440900,2702200,1481961,1457400,2137700,2295000,2711200,5938673,5801500,8937200,9724700,10625600,2096139800,0,0,0,0,0,430630,396100,697300,895100,1420400,6764439,6744100,7763000,8143400,14491500,4,4096,1310720,1310720,2236301700,0
5,2,barrier,154,5874964,5750800,6904200,12163600,14797000,153118,96000,456800,991300,1599700,1282345,1263800,1952400,2128100,2444000,1273699,1246700,1881500,2061200,2414900,4988086,4818100,7959800,9303900,11103100,1943363300,0,0,0,0,0,389244,325400,602400,812100,9707600,6276200,6130500,7349800,14203800,15458900,4,4096,1310720,1310720,2087884500,0
6,2,barrier_noguard,165,5511853,5471800,6443200,6985200,13766200,142964,93400,435700,708800,1233600,1204634,1193000,1726700,2076400,2365700,1199596,1170200,1704000,2038900,2365500,4667512,4483000,7582400,9053400,9829600,1813894800,0,0,0,0,0,339088,307600,586700,784900,3317200,5862513,5806100,6928200,7654800,13945000,4,4096,1310720,1310720,1958694100,0
7,2,guard_only,162,5570523,5403700,6360300,13724900,15136800,150653,92400,500600,887300,1824000,1232994,1176500,1848500,2369100,2825300,1218717,1178400,1799600,2154900,2542000,4797955,4602600,7463200,9880000,11030100,1847362900,0,0,0,0,0,393170,313000,639800,904800,8687500,5974916,5764400,7049800,14241400,15554000,4,4096,1310720,1310720,2004214400,0
8,2,spread,154,5819178,5717100,6842800,8786400,15832900,175764,99700,555700,1234100,1653400,1283486,1224800,1882900,2090200,4169600,1261027,1210800,1851900,2091500,4100100,5006258,4690700,8455600,9434300,25269300,1939346600,0,0,0,0,0,439751,333300,663300,1239200,9009800,6270759,6077000,7424500,13642200,16061200,4,4096,1310720,1310720,2099281300,0
9,3,spread,160,5603660,5486300,6405100,9191900,14680900,154919,102300,510000,854500,1533100,1234834,1238900,1785700,2023600,2550300,1218798,1231500,1730500,1988500,2362700,4793650,4664900,7621500,9231600,12249300,1864147000,0,0,0,0,0,410390,326600,702800,849200,8473800,6025867,5867600,6934100,12576300,15274000,4,4096,1310720,1310720,2024921400,0
10,3,guard_only,161,5586628,5383600,6662200,12355500,15387000,166760,105600,477200,889700,1388100,1198026,1180300,1716800,2252500,2381400,1184544,1168100,1672300,1902700,2323100,4667813,4557100,7580000,8227300,11239000,1852783300,0,0,0,0,0,388307,322000,691800,871000,8827200,5986794,5756500,7371100,14158100,15636700,4,4096,1310720,1310720,2021220900,0
11,3,barrier_noguard,152,5965347,5777900,7157900,14762800,15439400,167758,104900,501600,970000,1109000,1315259,1295600,1917200,2120100,2372000,1308643,1283900,1947600,2091900,2369300,5155808,4834800,8293900,9978700,10562300,1966735100,0,0,0,0,0,383275,342600,636200,803600,4563800,6360184,6145100,7691000,15141200,15875200,4,4096,1310720,1310720,2110860400,0
12,3,barrier,166,5464684,5429900,6398200,9968600,11721600,143497,91000,461200,1011100,1703600,1178203,1111800,1813600,2066800,2356000,1171525,1129200,1763500,1997500,2267100,4541250,4267200,7412300,8961800,9456600,1799494400,0,0,0,0,0,338653,310800,579800,730300,933400,5814464,5769300,6827900,10590300,12129900,4,4096,1310720,1310720,1944461300,0
