run,trial,policy,workers,steps,warmup,measured,ttft_ns,first_forward_ns,token_avg_ns,token_p50_ns,token_p95_ns,token_p99_ns,token_max_ns,tokens_per_second,e2e_ns,checksum,io_mib,io_requested_bytes,io_completed_bytes,io_elapsed_ns,io_status
1,1,spread,8,32,1,31,6258654900,5816952100,39234629,37860100,47503500,61813100,61813100,25.487688,7306242400,532151b23d172a01,128,134217728,134217728,2136691500,0
2,1,guard_only,8,32,1,31,6646427500,6178802500,45176006,44148300,58197700,58415100,58415100,22.135644,7863034700,532151b23d172a01,128,134217728,134217728,2049629200,0
3,1,barrier_noguard,8,32,1,31,5987871800,5450579400,39181335,38099300,49609200,50412900,50412900,25.522356,7040230100,532151b23d172a01,128,134217728,134217728,1919513700,0
4,1,barrier,8,32,1,31,6248910800,5660612500,39884490,38687800,48689800,52604100,52604100,25.072403,7311555800,532151b23d172a01,128,134217728,134217728,2212251700,0
5,2,barrier,8,32,1,31,6926784800,6237429400,42804906,41310000,56457900,58332200,58332200,23.361808,8063349600,532151b23d172a01,128,134217728,134217728,2595529700,0
6,2,barrier_noguard,8,32,1,31,6238143500,5740639100,44927941,42921500,57059800,58714200,58714200,22.257864,7436056800,532151b23d172a01,128,134217728,134217728,2015751500,0
7,2,guard_only,8,32,1,31,6544375300,5981627500,40412300,39471300,50428300,52647200,52647200,24.744942,7625667800,532151b23d172a01,128,134217728,134217728,2148636300,0
8,2,spread,8,32,1,31,6604334300,5964780500,43208719,41438500,53241200,106838800,106838800,23.143477,7719724500,532151b23d172a01,128,134217728,134217728,2155113900,0
9,3,spread,8,32,1,31,7160430800,6566995900,40969903,39812900,50029900,52502100,52502100,24.408161,8257710600,532151b23d172a01,128,134217728,134217728,2494936800,0
10,3,guard_only,8,32,1,31,6280140400,5714112300,40115087,40150300,53921700,54564800,54564800,24.928277,7356722000,532151b23d172a01,128,134217728,134217728,2215724500,0
11,3,barrier_noguard,8,32,1,31,6187247800,5722685100,41419729,39975300,49300700,57936100,57936100,24.143084,7290994800,532151b23d172a01,128,134217728,134217728,2125180300,0
12,3,barrier,8,32,1,31,6323862500,5768791200,41976958,40890600,48812800,49267700,49267700,23.822593,7463112900,532151b23d172a01,128,134217728,134217728,2256415700,0
